Question,Tag
I d like to check if an uploaded file is an image file e g png jpg jpeg gif bmp or another file The problem is that I m using Uploadify to upload the files which changes the mime type and gives a text octal or something as the mime type no matter which file type you upload Is there a way to check if the uploaded file is an image apart from checking the file extension using PHP,upload
function modify mcontact file_get_contents https test httpapi com api contacts modify json auth userid uid amp auth password pass amp contact id cid amp name name amp company company amp email email amp address line 1 street amp city city amp country country amp zipcode pincode amp phone cc countryCodeList phc amp phone phone mdetails json_decode mcontact true return mdetails using this modify function displays warning mesageWarning file_get_contents https hihfg com amp address line 1 3 dfgdf fgdf amp city dfgfd amp country India amp zipcode 641005 amp phone cc 91 amp phone 756657 function file get contents failed to open stream HTTP request failed HTTP 1 0 400 Bad request in home gfdgfd public_html new_one customer account class whois php on line 49Please help me modify contact details,contents
I ve decided to convert a Windows Phone 7 app that fetches an XML feed and then parses it to an asp net web app using Visual Web Developer Express I figure since the code already works for WP7 it should be a matter of mostly copying and pasting it for the C code behind HttpWebRequest request HttpWebRequest CreateHttp http webservices nextbus com service publicXMLFeed command routeConfig amp a sf muni amp r line1 That s the first line of code from my WP7 app that fetches the XML feed but I can t even get HttpWebRequest to work in Visual Web Developer like that Intellisense shows a create and createdefault but no CreateHttp like there was in Windows Phone 7 I just need to figure out how to fetch the page I assume the parsing will be the same as on my phone app Any help Thanks Amanda,phone
I m using SQL Server 2008 R2 and was wondering if there is another way of writing something likeEXEC dbo myProcedure SELECT columnName FROM TableName orEXEC dbo myProcedure myStringVariable other text so that these procedure calls actually work without putting the whole stuff into a variable first,calls
Does anyone know a good play plugin that automatically minifies javascript and css to attach to a production play server I ve found this one but I guess there are more out there https github com greenlaw110 play greenscriptThe main problem I see here is that the having javascript being generated from the play side the plugin would have to detect JS code that gets generated on the fly Mainly because I m writing values directly into the javascript like function foo handlerID someVar var x some_val var t foo handlerID bar,minify
I need your kindly help to accomplish a simple task I ve been searching but I can t find what I need It shouldn t be difficult probably it s a matter of syntax I create a string representing an XML inside the function like this sxe simplexml_load_string lt xmlFile gt lt item param variable gt lt subitem gt var2s lt subitem gt lt item gt lt xmlFile gt The contents of the variables are plain strings like this abc def ghi in both variables which I obtain from a hash this way isset variable variable isset vars2 vars2 foreach hashArray as stringKey gt stringValue I separate each result with a comma variable stringKey vars2 stringValue Then remove the last comma variable substr variable 0 1 vars2 substr vars2 0 1 When I save my XML with sxe gt asXml xml myGreatFile xml I got something similar to lt xmlFile gt lt item param abc def ghi gt lt subitem gt JKL MNO PQR lt subitem gt lt item gt lt xmlFile gt That was fine but now for my new requirement I need a result similar to this lt xmlFile gt lt item param abc gt lt subitem gt JKL lt subitem gt lt item gt lt item param def gt lt subitem gt MNO lt subitem gt lt item gt lt item param ghi gt lt subitem gt PQR lt subitem gt lt item gt lt xmlFile gt How can I create this repetitive node I tried to concatenate PHP functions inside the simplexml_load_string string as I did with the variables but seems to be it s not possible sxe simplexml_load_string lt xmlFile gt Syntax Error u_u foreach hashArray as stringKey gt stringValue variable stringKey vars2 stringValue lt item param variable gt lt subitem gt var2s lt subitem gt lt item gt lt xmlFile gt Of course my syntax it s wrong but I want to create this repetitive node somehow maybe with a cycle and maybe using my hash array directly instead of passing it to string Can somebody please help me THANKS A LOT,array
How to enable bound checking for operator and iterators,checker
My question is similar to this ASP NET MVC 4 Minification amp Background ImagesExcept that I want to stick with MVC s own bundling if I can I m having a brain crash trying to figure out what the correct pattern is for specifying style bundles such that standalone css and image sets such as jQuery UI work I have a typical MVC site structure with Content css which contains my base CSS such as styles css Within that css folder I also have subfolders such as jquery ui which contains its CSS file plus an images folder Image paths in the jQuery UI CSS are relative to that folder and I don t want to mess with them As I understand it when I specify a StyleBundle I need to specify a virtual path which does not also match a real content path because assuming I m ignoring routes to Content IIS would then try to resolve that path as a physical file So I m specifying bundles Add new StyleBundle Content styles jquery ui Include Content css jquery ui css rendered using Styles Render Content styles jquery ui I can see the request going out to http localhost MySite Content styles jquery ui v nL_6HPFtzoqrts9nwrtjq0VQFYnhMjY5EopXsK8cxmg1This is returning the correct minified CSS response But then the browser sends a request for a relatively linked image as http localhost MySite Content styles images ui bg_highlight soft_100_eeeeee_1x100 pngWhich is a 404 I understand that the last part of my URL jquery ui is an extensionless URL a handler for my bundle so I can see why the relative request for the image is simply styles images So my question is what is the correct way of handling this situation,net
private string formatSizeBinary Int64 size Int32 decimals 2 string sizes Bytes KB MB GB TB PB EB ZB YB double formattedSize size Int32 sizeIndex 0 while formattedSize gt 1024 amp sizeIndex lt sizes Length formattedSize 1024 sizeIndex 1 return string Format 0 1 Math Round formattedSize decimals ToString sizes sizeIndex I got this Default parameter specifiers are not permitted error on Int32 decimals 2,net
In python I have the following graph graph 1 graph 2 graph 3 graph 1 3 graph 3 graph 2 1 graph 1 graph 2 3 graph 3 graph 3 2 graph 2 this is a structure to represent a graph and that I find nice because its structure is the same as the one of one of it s nodes so I can use it directly to initiate a search as in depth first The printed version of it is 1 3 2 1 3 2 1 3 2 3 2 3 2 1 3 3 And it can be used like graph 1 3 2 3 2 1 3 2 1 3 2 keys Now I m curious to know how would one implement it in C C and Java without resorting to Object tricks that would fill the code with ugly casts For C I was thinking in templatemeta programming but that would generate finite data types when what is needed is something likemap lt int map lt int gt gt or map lt int gt,strong
