Question,Tag
This is a difficult and open ended question I know but I thought I d throw it to the floor and see if anyone had any interesting suggestions I have developed a code generator that takes our python interface to our C code generated via SWIG and generates code needed to expose this as WebServices When I developed this code I did it using TDD but I ve found my tests to be brittle as hell Because each test essentially wanted to verify that for a given bit of input code which happens to be a C header I d get a given bit of outputted code I wrote a small engine that reads test definitions from XML input files and generates test cases from these expectations The problem is I dread going in to modify the code at all That and the fact that the unit tests themselves are a complex and b brittle So I m trying to think of alternative approaches to this problem and it strikes me I m perhaps tackling it the wrong way Maybe I need to focus more on the outcome IE does the code I generate actually run and do what I want it to rather than does the code look the way I want it to Has anyone got any experiences of something similar to this they would care to share,python
This is a difficult and open ended question I know but I thought I d throw it to the floor and see if anyone had any interesting suggestions I have developed a code generator that takes our python interface to our C code generated via SWIG and generates code needed to expose this as WebServices When I developed this code I did it using TDD but I ve found my tests to be brittle as hell Because each test essentially wanted to verify that for a given bit of input code which happens to be a C header I d get a given bit of outputted code I wrote a small engine that reads test definitions from XML input files and generates test cases from these expectations The problem is I dread going in to modify the code at all That and the fact that the unit tests themselves are a complex and b brittle So I m trying to think of alternative approaches to this problem and it strikes me I m perhaps tackling it the wrong way Maybe I need to focus more on the outcome IE does the code I generate actually run and do what I want it to rather than does the code look the way I want it to Has anyone got any experiences of something similar to this they would care to share,python
This is a nasty one for me I m a PHP guy working in Java on a JSP project I know how to do what I m attempting through too much code and a complete lack of finesse I d prefer to do it RIGHT Here is the situation I m writing a small display to show customers what days they can water their lawns based on their watering group ABCDE and what time of year it is Our seasons look like this Summer 5 1 to 8 31 Spring 3 1 to 4 30 Fall 9 1 to 10 31 Winter 11 1 to 2 28 An example might be If I m in group A here would be my allowed times Winter Mondays only Spring Tues Thurs Sat Summer Any Day Fall Tues Thurs Sat If I was writing this in PHP I would use arrays like this M Monday t Tuesday T Thursday etc schedule A Winter M schedule A Spring tTS schedule A Summer Any schedule A Fall tTS schedule B Winter t I COULD make the days arrays array Tuesday Thursday Saturday etc but it is not necessary for what I m really trying to accomplish I will also need to setup arrays to determine what season I m in seasons Summer start 0501 seasons Summer end 0801 Can anyone suggest a really cool way to do this I will have today s date and the group letter I will need to get out of my function a day M or a series of days tTS Any Thanks folks,php
This is a nasty one for me I m a PHP guy working in Java on a JSP project I know how to do what I m attempting through too much code and a complete lack of finesse I d prefer to do it RIGHT Here is the situation I m writing a small display to show customers what days they can water their lawns based on their watering group ABCDE and what time of year it is Our seasons look like this Summer 5 1 to 8 31 Spring 3 1 to 4 30 Fall 9 1 to 10 31 Winter 11 1 to 2 28 An example might be If I m in group A here would be my allowed times Winter Mondays only Spring Tues Thurs Sat Summer Any Day Fall Tues Thurs Sat If I was writing this in PHP I would use arrays like this M Monday t Tuesday T Thursday etc schedule A Winter M schedule A Spring tTS schedule A Summer Any schedule A Fall tTS schedule B Winter t I COULD make the days arrays array Tuesday Thursday Saturday etc but it is not necessary for what I m really trying to accomplish I will also need to setup arrays to determine what season I m in seasons Summer start 0501 seasons Summer end 0801 Can anyone suggest a really cool way to do this I will have today s date and the group letter I will need to get out of my function a day M or a series of days tTS Any Thanks folks,php
My C program has a list of files that can be dragged from it and dropped into another program My requirements are that the file be copied to a different directory first So can I be notified of the drop operation so that I can only copy the file if operation succeeds I d rather wait till I know it needs to be copied before actually performing the copy Also is it possible to know what program the drop operation is occurring in Ideally I d like to alter the filepath based on who or what its being dropped The solution to this can be in any NET language or C C with COM,cpp
My C program has a list of files that can be dragged from it and dropped into another program My requirements are that the file be copied to a different directory first So can I be notified of the drop operation so that I can only copy the file if operation succeeds I d rather wait till I know it needs to be copied before actually performing the copy Also is it possible to know what program the drop operation is occurring in Ideally I d like to alter the filepath based on who or what its being dropped The solution to this can be in any NET language or C C with COM,cpp
In a web application I have a page that contains a DIV that has an auto width depending on the width of the browser window I need an auto height for the object The DIV starts about 300px from the top screen and it s height should make it stretch to the bottom of the browser screen I have a max height for the container DIV so there would have to be minimum height for the div I believe I can just restrict that in CSS and use Javascript to handle the resizing of the DIV My javascript isn t nearly as good as it should be Is there an easy script I could write that would do this for me Edit The DIV houses a control that does it s own overflow handling implements its own scroll bar,html
In a web application I have a page that contains a DIV that has an auto width depending on the width of the browser window I need an auto height for the object The DIV starts about 300px from the top screen and it s height should make it stretch to the bottom of the browser screen I have a max height for the container DIV so there would have to be minimum height for the div I believe I can just restrict that in CSS and use Javascript to handle the resizing of the DIV My javascript isn t nearly as good as it should be Is there an easy script I could write that would do this for me Edit The DIV houses a control that does it s own overflow handling implements its own scroll bar,html
I ve been doing some html scraping in PHP using regular expressions This works but the result is finicky and fragile Has anyone used any packages that provide a more robust solution A config driven solution would be ideal but I m not picky,html
I ve been doing some html scraping in PHP using regular expressions This works but the result is finicky and fragile Has anyone used any packages that provide a more robust solution A config driven solution would be ideal but I m not picky,html
